All calculations;Current Measurement;Current Measurement;Current Measurement;PQ Measurement;PQ Measurement;Voltage Measurement;Voltage Measurement;Voltage Measurement;Slow PLL Frequency Measurement
0,033;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,034;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,035;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,036;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,037;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,038;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,039;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,04;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,041;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,042;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,043;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,044;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,045;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,046;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,047;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,048;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,049;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,05;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,051;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,052;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,053;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,054;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,055;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,056;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,057;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,058;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,059;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,06;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,061;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,062;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,063;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,064;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,065;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,066;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,067;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,068;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,069;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,07;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,071;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,072;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,073;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,074;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,075;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,076;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,077;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,078;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,079;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,08;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,081;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,082;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,083;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,084;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,085;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,086;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,087;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,088;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,089;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,09;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,091;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,092;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,093;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,094;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,095;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,096;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,097;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,098;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,099;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,1;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,101;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,102;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,103;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,104;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,105;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,106;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,107;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,108;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,109;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,11;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,111;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,112;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,113;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,114;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,115;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,116;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,117;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,118;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,119;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,12;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,121;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,122;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,123;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,124;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,125;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,126;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,127;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,128;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,129;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,13;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,131;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,132;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,133;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,134;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,135;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,136;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,137;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,138;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,139;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,14;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,141;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,142;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,143;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,144;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,145;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,146;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,147;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,148;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,149;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,15;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,151;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,152;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,153;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,154;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,155;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,156;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,157;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,158;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,159;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,16;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,161;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,162;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,163;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,164;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,165;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,166;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,167;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,168;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,169;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,17;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,171;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,172;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,173;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,174;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,175;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,176;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,177;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,178;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,179;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,18;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,181;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,182;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,183;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,184;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,185;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,186;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,187;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,188;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,189;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,19;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,191;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,192;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,193;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,194;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,195;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,196;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,197;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,198;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,199;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,2;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,201;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,202;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,203;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,204;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,205;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,206;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,207;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,208;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,209;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,21;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,211;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,212;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,213;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,214;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,215;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,216;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,217;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,218;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,219;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,22;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,221;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,222;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,223;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,224;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,225;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,226;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,227;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,228;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,229;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,23;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,231;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,232;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,233;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,234;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,235;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,236;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,237;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,238;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,239;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,24;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,241;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,242;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,243;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,244;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,245;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,246;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,247;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,248;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,249;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,25;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,251;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,252;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,253;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,254;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,255;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,256;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,257;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,258;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,259;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,26;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,261;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,262;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,263;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,264;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,265;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,266;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,267;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,268;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,269;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,27;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,271;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,272;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,273;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,274;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,275;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,276;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,277;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,278;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,279;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,28;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,281;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,282;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,283;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,284;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,285;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,286;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,287;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,288;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
0,289;1,05055;0,644827;0,829369;0,8888;-0,3333;0,862646;0,268828;0,903563;1
